result_id,race_id,race_id,constructor_id,position,points,laps,time_in_miliseconds,fastestLap,rank,fastest_lap_time,fastest_lap_speed
1,18,1,1,1,10,58,5690616,39,2,01:27.5,218.3
2,18,2,2,2,8,58,5696094,41,3,01:27.7,217.586
3,18,3,3,3,6,58,5698779,41,5,01:28.1,216.719
4,18,4,4,4,5,58,5707797,58,7,01:28.6,215.464
5,18,5,1,5,4,58,5708630,43,1,01:27.4,218.385
6,18,6,3,6,3,57,\N,50,14,01:29.6,212.974
7,18,7,5,7,2,55,\N,54,8,01:29.5,213.224
8,18,8,6,8,1,53,\N,20,4,01:27.9,217.18
9,18,9,2,9,0,47,\N,15,9,01:28.8,215.1
10,18,10,7,10,0,43,\N,23,13,01:29.6,213.166
11,18,11,8,11,0,32,\N,24,15,01:30.9,210.038
12,18,12,4,12,0,30,\N,20,16,01:31.4,208.907
13,18,13,6,13,0,29,\N,23,6,01:28.2,216.51
14,18,14,9,14,0,25,\N,21,11,01:29.5,213.3
15,18,15,7,15,0,19,\N,18,10,01:29.3,213.758
16,18,16,10,16,0,8,\N,8,17,01:32.0,207.461
17,18,17,9,17,0,0,\N,\N,\N,\N,\N
18,18,18,11,18,0,0,\N,\N,\N,\N,\N
19,18,19,8,19,0,0,\N,\N,\N,\N,\N
20,18,20,5,20,0,0,\N,\N,\N,\N,\N
21,18,21,10,21,0,0,\N,\N,\N,\N,\N
22,18,22,11,22,0,58,\N,44,8,01:28.7,215.141
23,19,8,6,1,10,56,5478555,37,2,01:35.4,209.158
24,19,9,2,2,8,56,5498125,39,6,01:35.9,208.033
25,19,5,1,3,6,56,5517005,19,7,01:35.9,208.031
26,19,15,7,4,5,56,5524387,53,8,01:36.1,207.715
27,19,1,1,5,4,56,5525103,53,3,01:35.5,209.033
28,19,2,2,6,3,56,5528388,55,1,01:35.4,209.244
29,19,17,9,7,2,56,5546685,53,12,01:36.7,206.366
30,19,4,4,8,1,56,5548596,40,10,01:36.3,207.24
31,19,14,9,9,0,56,5554775,55,9,01:36.2,207.417
32,19,18,11,10,0,56,5564769,56,4,01:35.7,208.481
33,19,12,4,11,0,56,5570757,52,15,01:37.0,205.812
34,19,21,10,12,0,55,\N,52,16,01:37.0,205.8
35,19,22,11,13,0,55,\N,55,11,01:36.7,206.372
36,19,3,3,14,0,55,\N,55,13,01:36.8,206.182
37,19,19,8,15,0,55,\N,55,18,01:38.2,203.265
38,19,11,8,16,0,54,\N,53,19,01:38.5,202.578
39,19,6,3,17,0,54,\N,19,17,01:37.7,204.222
40,19,20,5,18,0,39,\N,37,14,01:36.9,205.995
41,19,13,6,19,0,30,\N,15,5,01:35.9,208.048
42,19,16,10,20,0,5,\N,3,20,01:40.3,198.891
43,19,10,7,21,0,1,\N,\N,\N,\N,\N
44,19,7,5,22,0,0,\N,\N,\N,\N,\N
45,20,13,6,1,10,57,5466970,38,3,01:33.6,208.153
46,20,8,6,2,8,57,5470309,35,4,01:33.7,207.911
47,20,9,2,3,6,57,5471968,55,5,01:33.8,207.765
48,20,2,2,4,5,57,5475379,48,2,01:33.6,208.231
49,20,5,1,5,4,57,5493759,49,1,01:33.2,209.062
50,20,15,7,6,3,57,5508284,45,7,01:34.2,206.819
51,20,17,9,7,2,57,5512443,51,8,01:34.3,206.597
52,20,3,3,8,1,57,5522859,57,6,01:34.1,207.109
53,20,10,7,9,0,57,5536470,56,9,01:34.8,205.503
54,20,4,4,10,0,57,5544151,35,13,01:35.2,204.668
55,20,22,11,11,0,57,5544832,40,10,01:34.9,205.399
56,20,21,10,12,0,56,\N,56,11,01:35.1,204.963
57,20,1,1,13,0,56,\N,25,19,01:35.5,203.969
58,20,6,3,14,0,56,\N,30,17,01:35.4,204.155
59,20,7,5,15,0,56,\N,33,15,01:35.3,204.369
60,20,19,8,16,0,56,\N,45,14,01:35.3,204.389
61,20,11,8,17,0,56,\N,56,20,01:35.9,203.18
62,20,14,9,18,0,56,\N,43,16,01:35.4,204.331
63,20,16,10,19,0,56,\N,55,18,01:35.4,204.136
64,20,12,4,20,0,40,\N,31,12,01:35.1,204.808
65,20,18,11,21,0,19,\N,11,21,01:36.1,202.686
66,20,20,5,22,0,0,\N,\N,\N,\N,\N
67,21,8,6,1,10,66,5899051,46,1,01:21.7,205.191
68,21,13,6,2,8,66,5902279,45,2,01:21.8,204.863
69,21,1,1,3,6,66,5903238,20,3,01:22.0,204.323
70,21,9,2,4,5,66,5904745,20,4,01:22.1,204.102
71,21,17,9,5,4,66,5934989,19,8,01:22.6,202.969
72,21,18,11,6,3,66,5952061,66,5,01:22.4,203.489
73,21,6,3,7,2,66,5957295,48,15,01:23.5,200.576
74,21,15,7,8,1,66,5958486,45,10,01:22.8,202.494
75,21,2,2,9,0,66,5962124,21,7,01:22.5,203.08
76,21,21,10,10,0,65,\N,40,14,01:23.4,200.841
77,21,10,7,11,0,65,\N,57,12,01:23.0,201.886
78,21,14,9,12,0,65,\N,57,11,01:22.8,202.288
79,21,11,8,13,0,65,\N,34,17,01:24.6,198.045
80,21,3,3,14,0,41,\N,20,13,01:23.3,201.13
81,21,4,4,15,0,34,\N,15,9,01:22.7,202.677
82,21,22,11,16,0,34,\N,21,16,01:23.9,199.837
83,21,5,1,17,0,21,\N,19,6,01:22.5,203.243
84,21,19,8,18,0,8,\N,6,20,01:26.9,192.922
85,21,7,5,19,0,7,\N,6,19,01:26.0,194.862
86,21,12,4,20,0,6,\N,6,18,01:25.4,196.128
87,21,16,10,21,0,0,\N,\N,\N,\N,\N
88,21,20,5,22,0,0,\N,\N,\N,\N,\N
89,22,13,6,1,10,58,5209451,16,3,01:26.7,221.734
90,22,1,1,2,8,58,5213230,31,2,01:26.5,222.085
91,22,8,6,3,6,58,5213722,20,1,01:26.5,222.144
92,22,9,2,4,5,58,5231396,17,4,01:26.8,221.442
93,22,2,2,5,4,58,5248192,20,5,01:27.2,220.328
94,22,4,4,6,3,58,5263175,57,6,01:27.3,220.174
95,22,17,9,7,2,58,5273680,14,7,01:27.6,219.294
96,22,3,3,8,1,58,5280857,55,9,01:27.8,218.882
97,22,14,9,9,0,58,5284721,41,12,01:28.0,218.457
98,22,15,7,10,0,58,5285795,52,11,01:27.9,218.556
99,22,18,11,11,0,57,\N,57,13,01:28.0,218.377
100,22,5,1,12,0,57,\N,55,8,01:27.6,219.269
101,22,10,7,13,0,57,\N,28,16,01:28.3,217.623
102,22,22,11,14,0,57,\N,56,14,01:28.0,218.33
103,22,12,4,15,0,57,\N,40,10,01:27.9,218.703
104,22,16,10,16,0,57,\N,35,18,01:28.8,216.454
105,22,20,5,17,0,57,\N,38,15,01:28.2,217.926
106,22,7,5,18,0,24,\N,19,17,01:28.7,216.539
107,22,6,3,19,0,1,\N,\N,\N,\N,\N
108,22,21,10,20,0,0,\N,\N,\N,\N,\N
109,23,1,1,1,10,76,7242742,71,6,01:18.5,153.152
110,23,9,2,2,8,76,7245806,75,5,01:17.9,154.286
111,23,13,6,3,6,76,7247553,76,4,01:17.9,154.379
112,23,17,9,4,5,76,7262037,74,8,01:19.0,152.133
113,23,20,5,5,4,76,7267399,74,7,01:18.8,152.614
114,23,22,11,6,3,76,7271150,75,9,01:19.6,151.104
115,23,6,3,7,2,76,7272922,75,13,01:19.9,150.469
116,23,5,1,8,1,76,7275933,74,2,01:17.3,155.586
117,23,8,6,9,0,76,7276534,74,1,01:16.7,156.789
118,23,4,4,10,0,75,\N,73,3,01:17.9,154.413
119,23,18,11,11,0,75,\N,74,10,01:19.6,151.089
120,23,10,7,12,0,75,\N,75,11,01:19.6,151.021
121,23,15,7,13,0,75,\N,75,12,01:19.8,150.62
122,23,2,2,14,0,72,\N,72,14,01:20.3,149.829
123,23,16,10,15,0,67,\N,60,16,01:22.0,146.564
124,23,3,3,16,0,59,\N,58,15,01:21.3,147.951
125,23,12,4,17,0,47,\N,40,17,01:31.2,131.86
126,23,21,10,18,0,36,\N,33,18,01:32.8,129.5
127,23,14,9,19,0,7,\N,7,20,01:42.1,117.753
128,23,7,5,20,0,7,\N,7,19,01:41.2,118.872
129,24,9,2,1,10,70,5784227,47,4,01:17.5,202.473
130,24,2,2,2,8,70,5800722,25,2,01:17.4,202.758
131,24,14,9,3,6,70,5807579,36,7,01:18.1,201.057
132,24,10,7,4,5,70,5826854,31,17,01:19.1,198.51
133,24,13,6,5,4,70,5828161,11,6,01:18.0,201.261
134,24,15,7,6,3,70,5832002,38,15,01:18.9,199.056
135,24,22,11,7,2,70,5837824,35,10,01:18.3,200.503
136,24,20,5,8,1,70,5838347,33,12,01:18.5,199.913
137,24,5,1,9,0,70,5838660,62,11,01:18.5,200.091
138,24,3,3,10,0,70,5838976,14,5,01:18.0,201.336
139,24,18,11,11,0,70,5851767,58,19,01:19.4,197.847
